Detector type,Radius in m,Angle in rad,Height in m,Ring number,x in m,y in m,z in m
PMT,1.09972,-1.32776,-0.681467,2,0.264648,-0.681467,-1.0674
PMT,1.19881,-1.04089,-0.2537,,0.605947,-0.2537,-1.0344
PMT,1.09972,-1.02843,0.174067,,0.567633,0.174067,-0.941902
PMT,1.09972,-1.02843,0.601833,,0.567633,0.601833,-0.941902
PMT,1.19881,-1.04089,1.0296,,0.605947,1.0296,-1.0344
PMT,1.09972,-0.542363,-0.681467,,0.941901,-0.681467,-0.567633
PMT,1.09972,-0.542363,-0.2537,,0.941901,-0.2537,-0.567633
PMT,1.09972,-0.542363,0.174067,,0.941901,0.174067,-0.567633
PMT,1.19881,-0.52991,1.0296,,1.0344,1.0296,-0.605947
PMT,1.19881,-0.255488,-1.10923,,1.1599,-1.10923,-0.302961
PMT,1.19881,-0.255488,-0.2537,,1.1599,-0.2537,-0.302961
PMT,1.09972,-0.243035,0.174067,,1.0674,0.174067,-0.264648
PMT,1.09972,-0.243035,0.601833,,1.0674,0.601833,-0.264648
PMT,1.19881,0.255488,-1.10923,,1.1599,-1.10923,0.302961
PMT,1.19881,0.255488,-0.681467,,1.1599,-0.681467,0.302961
PMT,1.09972,0.243035,-0.2537,,1.0674,-0.2537,0.264648
PMT,1.09972,0.243035,0.174067,,1.0674,0.174067,0.264648
PMT,1.09972,0.243035,0.601833,,1.0674,0.601833,0.264648
PMT,1.19881,0.52991,-1.10923,,1.0344,-1.10923,0.605947
PMT,1.09972,0.542363,-0.681467,,0.941901,-0.681467,0.567633
PMT,1.19881,0.52991,-0.2537,,1.0344,-0.2537,0.605947
PMT,1.09972,0.542363,0.601833,,0.941901,0.601833,0.567633
PMT,1.19881,1.04089,-1.10923,,0.605947,-1.10923,1.0344
PMT,1.19881,1.04089,-0.681467,,0.605947,-0.681467,1.0344
PMT,1.09972,1.02843,-0.2537,,0.567633,-0.2537,0.941902
PMT,1.09972,1.02843,0.174067,,0.567633,0.174067,0.941902
PMT,1.19881,1.04089,1.0296,,0.605947,1.0296,1.0344
PMT,1.19881,1.31531,-1.10923,,0.302961,-1.10923,1.1599
PMT,1.09972,1.32776,-0.681467,,0.264648,-0.681467,1.0674
PMT,1.09972,1.32776,-0.2537,,0.264648,-0.2537,1.0674
PMT,1.09972,1.32776,0.174067,,0.264648,0.174067,1.0674
PMT,1.19881,1.82628,-1.10923,,-0.302961,-1.10923,1.1599
PMT,1.19881,1.82628,-0.681467,,-0.302961,-0.681467,1.1599
PMT,1.09972,1.81383,-0.2537,,-0.264648,-0.2537,1.0674
PMT,1.09972,1.81383,0.174067,,-0.264648,0.174067,1.0674
PMT,1.09972,1.81383,0.601833,,-0.264648,0.601833,1.0674
PMT,1.19881,2.10071,-1.10923,,-0.605947,-1.10923,1.0344
PMT,1.09972,2.11316,-0.681467,,-0.567633,-0.681467,0.941902
PMT,1.09972,2.11316,-0.2537,,-0.567633,-0.2537,0.941902
PMT,1.09972,2.11316,0.601833,,-0.567633,0.601833,0.941902
PMT,1.19881,2.61168,-1.10923,,-1.0344,-1.10923,0.605947
PMT,1.09972,2.59923,-0.681467,,-0.941901,-0.681467,0.567633
PMT,1.09972,2.59923,-0.2537,,-0.941901,-0.2537,0.567633
PMT,1.09972,2.59923,0.174067,,-0.941901,0.174067,0.567633
PMT,1.09972,2.59923,0.601833,,-0.941901,0.601833,0.567633
PMT,1.19881,2.8861,-1.10923,,-1.1599,-1.10923,0.302961
PMT,1.09972,2.89856,-0.681467,,-1.0674,-0.681467,0.264648
PMT,1.19881,2.8861,-0.2537,,-1.1599,-0.2537,0.302961
PMT,1.09972,2.89856,0.174067,,-1.0674,0.174067,0.264648
PMT,1.09972,2.89856,0.601833,,-1.0674,0.601833,0.264648
PMT,1.19881,2.8861,1.0296,,-1.1599,1.0296,0.302961
PMT,1.19881,-2.8861,-1.10923,,-1.1599,-1.10923,-0.302961
PMT,1.09972,-2.89856,-0.681467,,-1.0674,-0.681467,-0.264648
PMT,1.19881,-2.61168,-1.10923,,-1.0344,-1.10923,-0.605947
PMT,1.19881,-2.61168,1.0296,,-1.0344,1.0296,-0.605947
PMT,1.09972,-2.11316,-0.681467,,-0.567633,-0.681467,-0.941902
PMT,1.09972,-2.11316,0.174067,,-0.567633,0.174067,-0.941902
PMT,1.09972,-2.11316,0.601833,,-0.567633,0.601833,-0.941902
PMT,1.09972,-1.81383,-0.681467,,-0.264648,-0.681467,-1.0674
PMT,1.19881,-1.82628,1.0296,,-0.302961,1.0296,-1.1599
PMT,0.85,-0.589049,1.5327,,0.706749,1.5327,-0.472235
PMT,0.85,-1.37445,1.5327,,0.165827,1.5327,-0.833668
PMT,0.85,-2.15984,1.5327,,-0.472235,1.5327,-0.706749
PMT,0.85,-2.55254,1.5327,,-0.706749,1.5327,-0.472235
PMT,0.85,-2.94524,1.5327,,-0.833668,1.5327,-0.165827
PMT,0.85,2.94524,1.5327,,-0.833668,1.5327,0.165827
PMT,0.85,2.55254,1.5327,,-0.706749,1.5327,0.472235
PMT,0.85,2.15984,1.5327,,-0.472235,1.5327,0.706749
PMT,0.85,1.76715,1.5327,,-0.165827,1.5327,0.833667
PMT,0.85,1.37445,1.5327,,0.165827,1.5327,0.833667
PMT,0.85,0.981748,1.5327,,0.472235,1.5327,0.706749
PMT,0.85,0.196349,1.5327,,0.833668,1.5327,0.165827
PMT,0.3,-1.5708,1.5327,,2.13E-17,1.5327,-0.3
PMT,0.3,1.5708,1.5327,,-5.22E-17,1.5327,0.3
PMT,0.832042,2.54573,-1.63144,,-0.68865,-1.63144,0.466963
PMT,0.712376,2.88278,-1.63144,,-0.68865,-1.63144,0.182321
PMT,0.785877,1.86721,-1.63144,,-0.22955,-1.63144,0.751605
PMT,0.520334,2.02769,-1.63144,,-0.22955,-1.63144,0.466963
PMT,0.293145,2.47037,-1.63144,,-0.22955,-1.63144,0.182321
PMT,0.293145,-2.47037,-1.63144,,-0.22955,-1.63144,-0.182321
PMT,0.520334,-2.02769,-1.63144,,-0.22955,-1.63144,-0.466963
PMT,0.785877,1.27438,-1.63144,,0.22955,-1.63144,0.751605
PMT,0.520334,1.11391,-1.63144,,0.22955,-1.63144,0.466963
PMT,0.293145,0.671227,-1.63144,,0.22955,-1.63144,0.182321
PMT,0.293145,-0.671227,-1.63144,,0.22955,-1.63144,-0.182321
PMT,0.832042,0.595866,-1.63144,,0.68865,-1.63144,0.466963
PMT,0.712376,-0.258813,-1.63144,,0.68865,-1.63144,-0.182321
PMT,0.832042,-0.595866,-1.63144,,0.68865,-1.63144,-0.466963
LAPPD,1.26792,-1.55451,-0.867051,,0.0206428,-0.867051,-1.26775
LAPPD,1.2805,0.0895379,-0.882611,,1.27537,-0.882611,0.1145
LAPPD,1.27185,0.705108,-0.882167,,0.968568,-0.882167,0.824307
LAPPD,1.26825,0.813254,-0.844414,,0.871461,-0.844414,0.921415
LAPPD,1.26959,0.731558,-0.731503,,0.944749,-0.731503,0.848126
LAPPD,1.2717,0.706626,-0.850095,,0.967198,-0.850095,0.825677
LAPPD,1.2698,0.728638,-0.753456,,0.947374,-0.753456,0.845501
LAPPD,1.27109,0.71296,-0.853486,,0.961488,-0.853486,0.831388
LAPPD,1.26795,0.803019,-0.693886,,0.88064,-0.693886,0.912236
LAPPD,1.26796,0.767388,-0.750049,,0.912584,-0.750049,0.880291
LAPPD,1.26873,0.746095,-0.799413,,0.931689,-0.799413,0.861187
LAPPD,1.26813,0.761208,-0.754053,,0.918127,-0.754053,0.874748
LAPPD,1.26948,0.733288,-0.771805,,0.943194,-0.771805,0.849682
LAPPD,1.26799,0.765996,-0.778788,,0.913833,-0.778788,0.879042
LAPPD,1.27,0.844897,-0.750788,,0.843038,-0.750788,0.949837
LAPPD,1.26779,0.778145,-0.873382,,0.90294,-0.873382,0.889935
LAPPD,1.26785,0.773088,-0.861199,,0.907474,-0.861199,0.885402
LAPPD,1.26846,0.818861,-0.811071,,0.866429,-0.811071,0.926447
LAPPD,1.26805,0.807079,-0.825443,,0.877,-0.825443,0.915876
LAPPD,1.26836,0.816316,-0.781469,,0.868713,-0.781469,0.924163
LAPPD,1.26891,0.828113,-0.764661,,0.858123,-0.764661,0.934752
LAPPD,1.27101,0.856939,-0.731576,,0.832196,-0.731576,0.960679
LAPPD,1.26893,0.82842,-0.848204,,0.857848,-0.848204,0.935028
LAPPD,1.26891,0.828048,-0.824547,,0.858181,-0.824547,0.934694
LAPPD,1.26837,0.816541,-0.84237,,0.868511,-0.84237,0.924364
LAPPD,1.26816,0.810801,-0.865215,,0.873661,-0.865215,0.919215
LAPPD,1.26829,0.814424,-0.888555,,0.870411,-0.888555,0.922465
LAPPD,1.26896,0.829008,-0.872279,,0.85732,-0.872279,0.935556
LAPPD,1.27185,0.865696,-0.865889,,0.824301,-0.865889,0.968575
LAPPD,1.27104,0.857325,-0.882799,,0.831848,-0.882799,0.961027
LAPPD,1.26855,0.820888,-0.717562,,0.86461,-0.717562,0.928266
LAPPD,1.27003,0.84533,-0.0898811,,0.842648,-0.0898811,0.950228
LAPPD,1.27177,1.65033,-0.758294,,-0.101046,-0.758294,1.26775
LAPPD,1.27071,1.63899,-0.709234,,-0.0865885,-0.709234,1.26775
LAPPD,1.27025,1.50811,-0.755332,,0.0795715,-0.755332,1.26775
LAPPD,1.26778,1.56415,-0.733156,,0.00842374,-0.733156,1.26775
LAPPD,1.27019,1.63274,-0.737571,,-0.0786274,-0.737571,1.26775
LAPPD,1.27064,1.63818,-0.855692,,-0.0855547,-0.855692,1.26775
LAPPD,1.26998,1.63004,-0.852424,,-0.0751942,-0.852424,1.26775
LAPPD,1.26792,1.58701,-0.776751,,-0.0205551,-0.776751,1.26775
LAPPD,1.26805,1.54931,-0.751744,,0.0272391,-0.751744,1.26775
LAPPD,1.26778,1.57707,-0.776646,,-0.00795244,-0.776646,1.26775
LAPPD,1.2683,1.60011,-0.846583,,-0.0371745,-0.846583,1.26775
LAPPD,1.26776,1.57373,-0.815546,,-0.00372259,-0.815546,1.26775
LAPPD,1.26956,1.51751,-0.70396,,0.0676196,-0.70396,1.26775
LAPPD,1.27148,1.49419,-0.721217,,0.0973029,-0.721217,1.26775
LAPPD,1.26785,1.55878,-0.790718,,0.015239,-0.790718,1.26775
LAPPD,1.26933,1.52092,-0.8714,,0.0632893,-0.8714,1.26775
LAPPD,1.27107,1.4985,-0.816846,,0.0918167,-0.816846,1.26775
LAPPD,1.26928,1.52172,-0.86551,,0.0622612,-0.86551,1.26775
LAPPD,1.27047,1.50542,-0.852739,,0.0830006,-0.852739,1.26775
LAPPD,1.27096,1.49976,-0.877259,,0.0902143,-0.877259,1.26775
LAPPD,1.27156,1.49336,-0.0101491,,0.0983654,-0.0101491,1.26775
LAPPD,1.27106,2.4283,-0.737289,,-0.961192,-0.737289,0.831684
,,,,,,,
,,,,,,,
,,,,,,,
