,Yvalues,Prediction
0,1,1
1,1,1
2,1,1
3,0,1
4,0,0
5,0,1
6,1,1
7,0,0
8,0,0
9,0,0
10,1,1
11,0,0
12,1,1
13,0,1
14,1,1
15,0,0
16,0,1
17,0,0
18,0,1
19,0,1
20,1,1
21,1,1
22,0,1
23,0,0
24,0,0
25,0,0
26,1,1
27,0,0
28,0,0
29,1,1
30,0,1
31,0,0
32,1,1
33,0,1
34,0,1
35,1,1
36,1,1
37,0,1
38,0,0
39,0,0
40,1,1
41,1,1
42,1,1
43,1,1
44,0,0
45,0,0
46,1,1
47,0,0
48,1,1
49,0,1
50,1,1
51,0,0
52,1,1
53,0,0
54,1,1
55,1,1
56,1,1
57,0,0
58,1,1
59,1,1
60,1,1
61,1,1
62,0,1
63,1,1
64,1,1
65,0,0
66,0,0
67,0,1
68,0,0
69,0,0
70,0,0
71,1,1
72,0,0
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,0,0
79,1,1
80,0,0
81,1,1
82,1,1
83,0,1
84,0,0
85,0,0
86,0,1
87,0,0
88,0,0
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,0,0
95,1,1
96,0,0
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,0,1
103,0,0
104,1,1
105,1,1
106,0,1
107,0,0
108,1,1
109,1,1
110,1,1
111,1,1
112,0,0
113,0,1
114,0,0
115,1,1
116,1,1
117,0,1
118,1,1
119,0,0
120,0,0
121,0,1
122,0,0
123,1,1
124,0,0
125,0,0
126,0,0
127,1,1
128,0,0
129,0,0
130,1,1
131,0,1
132,1,1
133,0,0
134,1,1
135,0,0
136,1,1
137,0,0
138,0,0
139,1,1
140,1,1
141,0,1
142,1,1
143,1,1
144,1,1
145,1,1
146,0,1
147,1,1
148,1,1
149,0,1
150,0,1
151,0,1
152,1,1
153,1,1
154,0,0
155,0,0
156,1,1
157,1,1
158,1,1
159,1,1
160,0,0
161,1,1
162,0,1
163,1,1
164,1,1
165,0,0
166,0,0
167,1,1
168,1,1
169,1,1
170,1,1
171,0,0
172,1,1
173,0,0
174,0,0
175,1,1
176,0,0
177,1,1
178,1,1
179,0,0
180,1,1
181,0,0
182,1,1
183,1,1
184,0,0
185,1,1
186,0,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,0,1
194,1,1
195,1,1
196,1,1
197,0,1
198,0,0
199,0,1
200,1,1
201,1,1
202,1,1
203,1,1
204,0,0
205,0,1
206,1,1
207,0,0
208,1,1
209,1,1
210,0,0
211,1,1
212,0,0
213,1,1
214,0,1
215,0,0
216,1,1
217,0,1
218,1,1
219,1,1
220,0,0
221,1,1
222,1,1
223,0,0
224,1,1
225,1,1
226,0,1
227,0,0
228,1,1
229,0,0
230,1,1
231,0,0
232,1,1
233,1,1
234,1,1
235,1,1
236,0,1
237,1,1
238,0,1
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,1,1
246,0,0
247,1,1
248,1,1
249,1,1
250,0,1
251,1,1
252,0,0
253,0,0
254,1,1
255,0,0
256,0,0
257,0,1
258,1,1
259,0,0
260,0,0
261,1,1
262,1,1
263,0,0
264,1,1
265,0,1
266,0,1
267,0,0
268,0,0
269,0,0
270,1,1
271,1,1
272,1,1
273,0,1
274,1,1
275,1,1
276,1,1
277,0,1
278,0,1
279,1,1
280,1,1
281,0,0
282,0,1
283,1,1
284,1,1
285,1,1
286,1,1
287,1,1
288,0,0
289,0,1
290,0,0
291,1,1
292,0,1
293,1,1
294,0,0
295,0,0
296,0,0
297,1,1
298,0,0
299,0,0
300,1,1
301,0,1
302,0,1
303,0,0
304,1,1
305,1,1
306,0,0
307,1,1
308,1,1
309,1,1
310,0,0
311,1,1
312,1,1
313,0,0
314,1,1
315,0,0
316,1,1
317,0,1
318,1,1
319,0,0
320,0,1
321,0,1
322,1,1
323,1,1
324,0,0
325,0,1
326,0,0
327,1,1
328,0,0
329,1,1
330,1,1
331,0,0
332,1,1
333,0,0
334,1,1
335,1,1
336,0,0
337,0,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,0,0
345,0,1
346,1,1
347,1,1
348,1,1
349,1,1
350,0,0
351,1,1
352,1,1
353,0,0
354,0,1
355,0,0
356,0,0
357,0,0
358,1,1
359,1,1
360,0,0
361,0,0
362,0,0
363,0,1
364,1,1
365,1,1
366,1,1
367,0,0
368,1,1
369,0,0
370,1,1
371,1,1
372,1,1
373,0,0
374,0,0
375,1,1
376,0,0
377,1,1
378,1,1
379,1,1
380,0,1
381,0,0
382,1,1
383,1,1
384,1,1
385,1,1
386,0,0
387,1,1
388,1,1
389,1,1
390,0,1
391,0,1
392,1,1
393,1,1
394,0,1
395,1,1
396,0,1
397,1,1
398,0,1
399,0,0
400,0,1
401,0,1
402,1,1
403,1,1
404,1,1
405,0,0
406,0,0
407,0,0
408,1,1
409,0,0
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,0,0
418,1,1
419,1,1
420,1,1
421,0,0
422,1,1
423,0,0
424,1,1
425,0,1
426,1,1
427,0,0
428,1,1
429,0,0
430,0,0
431,1,1
432,1,1
433,1,1
434,1,1
435,0,1
436,1,1
437,0,0
438,0,1
439,0,0
440,1,1
441,0,0
442,1,1
443,1,1
444,0,0
445,0,0
446,0,0
447,0,0
448,1,1
449,0,1
450,1,1
451,0,0
452,0,0
453,1,1
454,0,0
455,0,0
456,0,1
457,0,0
458,1,1
459,1,1
460,1,1
461,0,0
462,0,1
463,1,1
464,1,1
465,0,0
466,0,0
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,1
478,1,1
479,0,1
480,0,0
481,1,1
482,0,0
483,0,1
484,1,1
485,0,0
486,1,1
487,0,0
488,0,0
489,0,1
490,0,0
491,0,0
492,0,0
493,1,1
494,0,1
495,1,1
496,0,0
497,1,1
498,1,1
499,1,1
500,0,0
501,0,0
502,0,0
503,0,0
504,0,1
505,1,1
506,0,0
507,1,1
508,0,1
509,1,1
510,1,1
511,0,1
512,0,0
513,1,1
514,1,1
515,0,0
516,0,1
517,1,1
518,0,1
519,1,1
520,0,1
521,1,1
522,0,0
523,0,0
524,1,1
525,1,1
526,1,1
527,0,1
528,0,0
529,0,0
530,0,0
531,0,0
532,1,1
533,1,1
534,0,0
535,1,1
536,1,1
537,0,0
538,0,0
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,0,0
546,1,1
547,0,0
548,1,1
549,1,1
550,1,1
551,1,1
552,0,0
553,0,0
554,0,0
555,1,1
556,1,1
557,0,1
558,0,0
559,1,1
560,1,1
561,0,0
562,0,0
563,1,1
564,0,0
565,1,1
566,1,1
567,0,0
568,0,0
569,0,0
570,0,1
571,1,1
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,1,1
578,0,1
579,1,1
580,0,1
581,0,0
582,1,1
583,0,0
584,0,1
585,1,1
586,0,0
587,0,0
588,0,0
589,1,1
590,1,1
591,1,1
592,0,0
593,0,0
594,1,1
595,1,1
596,0,0
597,0,0
598,0,0
599,1,0
600,1,1
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,1,1
608,0,0
609,1,1
610,1,1
611,0,0
612,1,1
613,0,0
614,1,1
615,0,1
616,0,0
617,0,0
618,1,1
619,0,0
620,0,0
621,0,1
622,0,0
623,1,1
624,1,1
625,0,0
626,1,1
627,0,1
628,1,1
629,1,1
630,1,1
631,1,1
632,0,0
633,1,1
634,0,0
635,1,1
636,0,0
637,1,1
638,1,1
639,0,1
640,1,1
641,0,0
642,1,1
643,0,0
644,1,1
645,1,1
646,1,1
647,1,1
648,1,1
649,1,1
650,0,0
651,0,0
652,0,0
653,0,0
654,1,1
655,0,1
656,1,1
657,1,1
658,0,0
659,1,1
660,0,0
661,1,1
662,0,0
663,0,0
664,1,1
665,1,1
666,1,1
667,1,1
668,0,0
669,1,1
670,0,0
671,1,1
672,0,0
673,0,0
674,0,1
675,0,0
676,0,0
677,0,0
678,1,1
679,0,0
680,1,1
681,1,1
682,1,1
683,1,1
684,1,1
685,0,1
686,0,1
687,0,0
688,0,0
689,1,1
690,0,1
691,1,1
692,0,0
693,1,1
694,1,1
695,1,1
696,1,1
697,1,1
698,0,1
699,1,1
700,0,0
701,1,1
702,0,0
703,1,1
704,1,1
705,1,1
706,0,0
707,1,1
708,0,0
709,1,1
710,1,1
711,1,1
712,0,0
713,0,1
714,1,1
715,0,1
716,1,1
717,0,1
718,0,0
719,0,0
720,1,1
721,1,1
722,1,1
723,0,0
724,1,1
725,1,1
726,1,1
727,0,1
728,1,1
729,1,1
730,1,1
731,0,1
732,1,1
733,1,1
734,1,1
735,1,1
736,1,1
737,0,1
738,0,0
739,1,1
740,1,1
741,0,0
742,1,1
743,0,0
744,1,1
745,1,1
746,0,1
747,1,1
748,1,1
749,1,1
750,1,1
751,1,1
752,0,0
753,1,1
754,1,1
755,0,0
756,1,1
757,0,0
758,0,0
759,0,1
760,1,1
761,1,1
762,0,1
763,0,0
764,0,0
765,1,1
766,1,1
767,1,1
768,1,1
769,1,1
770,0,0
771,0,0
772,1,1
773,1,1
774,0,0
775,1,1
776,1,1
777,0,1
778,0,0
779,1,1
780,0,0
781,0,1
782,1,1
783,0,1
784,1,1
785,1,1
786,1,1
787,0,1
788,1,1
789,1,1
790,1,1
791,1,1
792,0,0
793,0,0
794,1,1
795,0,1
796,1,1
797,0,0
798,1,1
799,1,1
800,0,1
801,0,1
802,1,1
803,0,0
804,1,1
805,1,1
806,1,1
807,1,1
808,1,1
809,0,1
810,0,0
811,0,0
812,0,0
813,0,0
814,1,1
815,1,1
816,0,0
817,1,1
818,1,1
819,0,0
820,1,1
821,1,1
822,0,1
823,1,1
824,1,1
825,1,1
826,0,0
827,1,1
828,1,1
829,0,0
830,0,0
831,0,0
832,1,1
833,0,0
834,1,1
835,1,1
836,1,1
837,0,0
838,0,0
839,0,0
840,1,1
841,1,1
842,1,1
843,1,1
844,0,0
845,1,1
846,1,1
847,0,0
848,0,0
849,0,0
850,0,0
851,1,1
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,1
858,1,1
859,0,0
860,0,0
861,1,1
862,0,1
863,1,1
864,0,1
865,0,0
866,1,1
867,1,1
868,0,0
869,0,0
870,0,0
871,0,0
872,1,1
873,0,0
874,0,0
875,1,1
876,0,1
877,1,1
878,1,1
879,0,0
880,1,1
881,0,1
882,1,1
883,0,1
884,0,1
885,1,1
886,1,1
887,1,1
888,0,1
889,0,0
890,1,1
891,1,1
892,0,0
893,1,1
894,1,1
895,1,1
896,0,0
897,0,0
898,1,1
899,1,1
900,0,0
901,1,1
902,1,1
903,0,1
904,0,1
905,1,1
906,0,0
907,0,0
908,0,0
909,0,0
910,0,1
911,0,0
912,1,1
913,1,1
914,1,1
915,1,1
916,0,1
917,1,1
918,1,1
919,1,1
920,1,1
921,1,1
922,0,0
923,1,1
924,0,1
925,1,1
926,1,1
927,1,1
928,0,0
929,0,0
930,1,1
931,0,0
932,1,1
933,1,1
934,0,0
935,0,0
936,0,1
937,1,1
938,1,1
939,0,0
940,1,1
941,0,0
942,0,1
943,0,1
944,0,0
945,0,0
946,0,0
947,0,1
948,1,1
949,0,0
950,1,1
951,0,0
952,1,1
953,0,0
954,1,1
955,0,1
956,0,0
957,1,1
958,0,1
959,1,1
960,1,1
961,0,0
962,1,1
963,0,1
964,0,0
965,1,1
966,1,1
967,0,1
968,1,1
969,0,0
970,0,0
971,0,0
972,1,1
973,1,1
974,0,0
975,1,1
976,1,1
977,0,0
978,1,1
979,1,1
980,0,0
981,1,1
982,1,1
983,1,1
984,1,1
985,1,1
986,0,1
987,1,1
988,1,1
989,0,1
990,1,1
991,0,1
992,0,1
993,0,1
994,1,1
995,1,1
996,1,1
997,1,1
998,1,1
999,1,1
1000,1,1
1001,1,1
1002,0,0
1003,1,1
1004,0,0
1005,0,0
1006,1,1
1007,0,0
1008,1,1
1009,1,1
1010,0,0
1011,0,1
1012,1,1
1013,0,0
1014,1,1
1015,0,0
1016,0,0
1017,1,1
1018,1,1
1019,0,0
1020,0,0
1021,1,1
1022,1,1
1023,0,0
1024,1,1
1025,1,1
1026,0,0
1027,1,1
1028,1,1
1029,0,1
1030,0,1
1031,1,1
1032,1,1
1033,0,0
1034,0,1
1035,0,1
1036,0,1
1037,0,0
1038,1,1
1039,1,1
1040,1,1
1041,1,1
1042,0,0
1043,1,1
1044,1,1
1045,0,1
1046,0,0
1047,0,0
1048,0,0
1049,0,1
1050,0,1
1051,0,0
1052,0,0
1053,1,1
1054,1,1
1055,1,1
1056,1,1
1057,0,0
1058,1,1
1059,1,1
1060,1,1
1061,0,0
1062,1,1
1063,0,0
1064,0,0
1065,1,1
1066,1,1
1067,1,1
1068,0,0
1069,0,0
1070,1,1
1071,0,0
1072,1,1
1073,0,0
1074,1,1
1075,0,1
1076,0,0
1077,1,1
1078,0,1
1079,1,1
1080,0,0
1081,0,0
1082,1,1
1083,0,0
1084,1,1
1085,1,1
1086,0,0
1087,1,1
1088,0,1
1089,0,0
1090,1,1
1091,1,1
1092,1,1
1093,0,0
1094,0,1
1095,0,1
1096,0,1
1097,1,1
1098,1,1
1099,0,1
1100,0,0
1101,0,0
1102,0,0
1103,1,1
1104,0,0
1105,1,1
1106,0,0
1107,1,1
1108,0,0
1109,1,1
1110,1,1
1111,0,0
1112,1,1
1113,1,1
1114,0,0
1115,1,1
1116,0,0
1117,0,0
1118,1,1
1119,1,1
1120,0,1
1121,0,0
1122,1,1
1123,1,1
1124,1,1
1125,0,0
1126,0,1
1127,0,1
1128,0,0
1129,0,0
1130,0,0
1131,0,0
1132,1,1
1133,1,1
1134,1,1
1135,0,1
1136,1,1
1137,1,1
1138,1,1
1139,1,1
1140,1,1
1141,1,1
1142,0,0
1143,1,1
1144,1,1
1145,1,1
1146,0,1
1147,1,1
1148,1,1
1149,1,1
1150,1,1
1151,0,0
1152,1,1
1153,1,1
1154,1,1
1155,1,1
1156,0,0
1157,0,0
1158,0,1
1159,1,1
1160,0,0
1161,0,1
1162,0,1
1163,0,1
1164,1,1
1165,0,0
1166,1,1
1167,1,1
1168,1,1
1169,0,0
1170,1,1
1171,1,1
1172,1,1
1173,1,1
1174,0,0
1175,1,1
1176,1,1
1177,0,0
1178,0,0
1179,1,1
1180,0,1
1181,1,1
1182,0,1
1183,1,1
1184,1,1
1185,1,1
1186,0,1
1187,0,0
1188,1,1
1189,1,1
1190,0,0
1191,0,1
1192,1,1
1193,1,1
1194,1,1
1195,0,0
1196,0,0
1197,1,1
1198,0,1
1199,1,1
1200,0,0
1201,0,0
1202,0,0
1203,0,1
1204,1,1
1205,0,0
1206,1,1
1207,0,0
1208,0,0
1209,0,0
1210,1,1
1211,1,1
1212,0,0
1213,0,1
1214,1,1
1215,0,1
1216,1,1
1217,1,1
1218,1,1
1219,1,1
1220,0,0
1221,0,0
1222,1,1
1223,0,0
1224,0,1
1225,1,1
1226,0,1
1227,0,0
1228,0,0
1229,1,1
1230,1,1
1231,0,0
1232,1,1
1233,1,1
1234,0,0
1235,0,0
1236,1,1
1237,1,1
1238,1,1
1239,0,1
1240,1,1
1241,0,0
1242,0,0
1243,0,1
1244,0,0
1245,1,1
1246,0,0
1247,1,1
1248,0,0
1249,0,0
1250,0,0
1251,0,1
1252,0,0
1253,0,1
1254,1,1
1255,1,1
1256,1,1
1257,1,1
1258,0,0
1259,0,0
1260,1,1
1261,0,1
1262,0,0
1263,0,1
1264,1,1
1265,1,1
1266,1,1
1267,0,0
1268,0,1
1269,0,0
1270,1,1
1271,0,0
1272,1,1
1273,0,0
1274,1,1
1275,1,1
1276,1,1
1277,1,1
1278,1,1
1279,1,1
1280,1,1
1281,0,1
1282,0,1
1283,0,1
1284,0,1
1285,1,1
1286,0,0
1287,0,0
1288,1,1
1289,1,1
1290,0,1
1291,1,1
1292,1,1
1293,0,0
1294,0,0
1295,1,1
1296,1,1
1297,1,1
1298,0,1
1299,0,0
1300,1,1
1301,1,1
1302,1,1
1303,0,0
1304,0,0
1305,0,0
1306,1,1
1307,1,1
1308,0,0
1309,1,1
1310,1,1
1311,0,0
1312,1,1
1313,1,1
1314,0,0
1315,1,1
1316,1,1
1317,1,1
1318,0,1
1319,1,1
1320,0,0
1321,1,1
1322,1,1
1323,0,1
1324,1,1
1325,0,0
1326,0,0
1327,1,1
1328,0,0
1329,1,1
1330,1,1
1331,1,1
1332,0,1
1333,1,1
1334,0,0
1335,1,1
1336,0,0
1337,0,0
1338,1,1
1339,1,1
1340,1,1
1341,0,0
1342,1,1
1343,1,1
1344,0,0
1345,1,1
1346,1,1
1347,1,1
1348,0,0
1349,1,1
1350,1,1
1351,1,1
1352,1,1
1353,1,1
1354,1,1
1355,0,0
1356,1,1
1357,1,1
1358,1,1
