,TrueEnergy,DNNEnergy
0,695.869,795.513
1,880.448,1030.057
2,339.613,196.060
3,476.134,400.716
4,273.175,198.252
5,798.232,501.292
6,555.776,416.671
7,557.252,802.702
8,415.569,1180.563
9,1781.080,1442.327
10,401.588,471.412
11,1408.950,355.151
12,473.573,626.148
13,339.059,435.758
14,332.589,200.751
15,352.712,317.698
16,3009.720,1579.711
17,552.123,225.305
18,599.826,374.186
19,820.193,922.247
20,535.288,390.174
21,643.736,1239.140
22,837.395,897.346
23,249.183,317.316
24,291.466,147.625
25,2036.820,1252.371
26,371.460,232.500
27,354.293,402.749
28,388.479,406.885
29,273.040,297.389
30,982.576,1144.082
31,276.996,370.472
32,1036.800,597.631
33,341.465,274.909
34,567.671,1249.153
35,635.086,1535.175
36,1762.660,1347.069
37,408.058,493.946
38,451.936,465.010
39,348.079,265.506
40,1492.140,448.538
41,602.555,591.071
42,306.831,171.138
43,887.232,956.100
44,725.054,289.902
45,284.270,192.238
46,1471.600,1025.434
47,598.012,1001.752
48,641.186,459.693
49,1856.860,373.878
50,1260.910,531.126
51,416.125,386.432
52,433.939,386.137
53,593.340,560.667
54,795.687,1300.299
55,1055.560,656.242
56,1824.170,1382.880
57,240.776,316.022
58,999.186,344.875
59,484.368,1352.041
60,523.243,756.357
61,410.988,372.633
62,860.451,513.159
63,768.072,385.944
64,289.139,179.484
65,1096.490,294.221
66,2994.070,481.282
67,675.013,1175.825
68,415.681,318.118
69,878.357,697.578
70,577.677,590.671
71,527.392,544.103
72,376.579,342.478
73,263.735,237.346
74,456.161,598.144
75,329.341,187.353
76,510.931,129.599
77,740.599,530.469
78,383.055,389.170
79,378.102,438.240
80,978.641,596.231
81,812.857,668.454
82,1147.540,1023.608
83,1507.420,497.712
84,229.451,224.940
85,3828.970,458.838
86,833.696,1151.782
87,372.081,455.190
88,1146.200,1520.341
89,462.250,460.038
90,868.251,493.021
91,643.374,990.353
92,507.874,325.578
93,232.811,280.757
94,322.061,10.832
95,393.474,484.729
96,465.267,1138.431
97,267.285,127.879
98,701.564,306.549
99,364.701,1087.626
100,2267.480,597.164
101,664.565,425.160
102,287.869,114.925
103,2166.600,1155.112
104,934.795,1203.851
105,588.623,916.148
106,313.735,180.536
107,492.499,494.536
108,912.885,706.476
109,1360.980,772.034
110,492.274,402.764
111,2141.420,683.394
112,901.261,737.694
113,519.105,278.205
114,210.466,335.147
115,484.692,566.101
116,598.307,324.107
117,498.558,522.243
118,475.618,513.061
119,1606.440,1352.581
120,934.709,1129.087
121,385.112,318.253
122,486.007,270.291
123,366.363,313.921
124,1549.140,171.934
125,323.793,238.637
126,1633.350,267.142
127,501.056,926.425
128,848.919,603.626
129,520.773,383.135
130,899.310,583.732
131,348.677,190.587
132,324.479,299.934
133,401.047,431.828
134,324.189,343.300
135,322.096,229.311
136,606.818,641.263
137,766.628,646.222
138,373.572,617.962
139,1181.810,724.502
140,983.445,436.970
141,671.476,438.264
142,486.293,545.811
143,948.454,670.375
144,486.786,300.139
145,662.118,732.273
146,286.236,148.098
147,394.991,420.770
148,440.117,516.623
149,341.294,249.609
150,430.937,447.539
151,231.024,263.568
152,3763.060,633.864
153,599.148,281.632
154,564.050,1088.935
155,1645.960,298.038
156,682.559,529.122
157,367.456,122.701
158,1462.720,486.864
159,3223.560,1229.316
160,485.021,512.589
161,378.890,375.650
162,286.306,258.618
163,277.817,87.027
164,409.131,532.108
165,320.782,464.211
166,403.762,408.742
167,424.740,451.550
168,787.739,505.948
169,443.070,462.905
170,1062.970,622.297
171,411.396,819.220
172,420.381,113.689
173,1606.360,715.778
174,745.893,599.938
175,196.584,133.059
176,397.295,90.283
177,567.454,1592.430
178,411.743,297.671
179,628.411,1322.744
180,363.680,291.699
181,348.457,313.809
182,758.023,650.940
183,1071.460,570.203
184,634.063,354.721
185,354.221,288.010
186,3426.470,1212.663
187,386.930,166.823
188,482.604,1031.291
189,212.878,458.841
190,735.719,635.805
191,498.212,333.985
192,266.481,237.689
193,465.392,450.263
194,380.054,317.903
195,641.700,1084.518
196,462.806,324.359
197,531.940,1007.838
198,1514.620,315.850
199,167.695,188.011
200,819.518,624.157
201,4572.650,647.164
