,TrueEnergy,DNNEnergy
0,695.869,791.027
1,880.448,868.867
2,339.613,263.703
3,476.134,396.186
4,273.175,216.742
5,798.232,536.142
6,555.776,315.691
7,557.252,825.675
8,415.569,904.943
9,401.588,380.282
10,473.573,541.311
11,339.059,361.957
12,332.589,232.957
13,352.712,328.823
14,552.123,326.378
15,599.826,504.671
16,820.193,778.651
17,535.288,330.914
18,643.736,931.087
19,837.395,795.708
20,249.183,248.402
21,291.466,173.155
22,371.460,358.640
23,354.293,449.099
24,388.479,417.030
25,273.040,245.885
26,982.576,867.761
27,276.996,361.643
28,341.465,323.972
29,567.671,893.715
30,635.086,973.159
31,408.058,450.810
32,451.936,398.242
33,348.079,283.411
34,602.555,651.534
35,306.831,183.144
36,887.232,867.622
37,725.054,277.434
38,284.270,260.386
39,598.012,864.326
40,641.186,416.231
41,416.125,363.568
42,433.939,412.496
43,593.340,445.542
44,795.687,969.251
45,240.776,242.340
46,999.186,298.064
47,484.368,881.370
48,523.243,822.860
49,410.988,349.353
50,860.451,519.211
51,768.072,573.885
52,289.139,235.741
53,675.013,963.313
54,415.681,298.500
55,878.357,719.297
56,577.677,555.990
57,527.392,476.310
58,376.579,435.940
59,263.735,220.333
60,456.161,640.643
61,329.341,251.325
62,510.931,166.765
63,740.599,474.174
64,383.055,371.506
65,378.102,506.293
66,978.641,604.517
67,812.857,481.213
68,229.451,226.980
69,833.696,848.617
70,372.081,419.203
71,462.250,383.298
72,868.251,491.067
73,643.374,863.824
74,507.874,328.955
75,232.811,257.045
76,322.061,4.601
77,393.474,410.634
78,465.267,787.649
79,267.285,177.604
80,701.564,348.255
81,364.701,795.025
82,664.565,409.507
83,287.869,163.891
84,934.795,891.071
85,588.623,838.865
86,313.735,192.284
87,492.499,411.599
88,912.885,795.009
89,492.274,415.654
90,901.261,590.563
91,519.105,329.026
92,210.466,270.773
93,484.692,672.872
94,598.307,373.390
95,498.558,443.422
96,475.618,686.138
97,934.709,881.631
98,385.112,339.581
99,486.007,419.143
100,366.363,304.477
101,323.793,193.053
102,501.056,708.256
103,848.919,663.669
104,520.773,467.857
105,899.310,505.902
106,348.677,262.146
107,324.479,258.403
108,401.047,618.842
109,324.189,419.408
110,322.096,225.101
111,606.818,524.431
112,766.628,519.773
113,373.572,406.392
114,983.445,596.188
115,671.476,350.859
116,486.293,674.433
117,948.454,588.850
118,486.786,362.152
119,662.118,677.856
120,286.236,205.763
121,394.991,434.175
122,440.117,447.912
123,341.294,294.265
124,430.937,369.465
125,231.024,248.321
126,599.148,309.375
127,564.050,873.279
128,682.559,386.275
129,367.456,176.191
130,485.021,472.364
131,378.890,340.032
132,286.306,241.355
133,277.817,135.314
134,409.131,483.199
135,320.782,510.886
136,403.762,282.652
137,424.740,324.816
138,787.739,513.603
139,443.070,366.080
140,411.396,798.693
141,420.381,158.024
142,745.893,535.616
143,196.584,173.986
144,397.295,128.270
145,567.454,935.952
146,411.743,338.678
147,628.411,938.747
148,363.680,384.641
149,348.457,319.780
150,758.023,503.963
151,634.063,436.033
152,354.221,308.415
153,386.930,228.966
154,482.604,868.732
155,212.878,307.538
156,735.719,551.964
157,498.212,311.523
158,266.481,226.284
159,465.392,417.988
160,380.054,546.322
161,641.700,892.677
162,462.806,380.157
163,531.940,849.899
164,167.695,192.818
165,819.518,738.438
166,910.715,914.056
167,354.394,248.754
168,377.050,771.823
169,302.128,242.629
170,415.764,217.339
171,344.855,390.268
172,602.482,710.328
173,425.487,388.350
174,562.847,606.917
175,672.377,661.088
176,489.508,1069.965
177,770.275,421.423
178,444.390,178.090
179,734.471,883.263
180,440.988,584.389
181,532.038,381.268
182,653.772,531.655
183,382.926,533.909
184,910.224,762.792
185,328.176,297.632
186,390.044,442.951
187,455.417,415.777
188,486.754,762.914
189,764.241,565.222
190,221.804,44.717
191,910.497,526.512
192,697.446,611.527
193,525.814,816.190
194,256.855,149.807
195,495.318,461.607
196,508.913,707.613
197,614.940,872.318
198,358.634,386.971
199,356.257,160.309
200,624.982,300.530
201,511.947,679.850
202,400.476,534.867
203,622.040,557.104
204,252.644,289.560
205,414.160,231.364
206,522.329,1077.195
207,632.060,603.650
208,347.954,155.028
209,295.480,376.902
210,321.949,258.138
211,656.887,410.323
212,419.734,444.234
213,515.808,328.035
214,193.300,234.716
215,555.261,431.532
216,277.414,216.549
217,432.747,687.526
218,868.201,363.657
219,550.420,439.941
220,420.851,555.308
221,285.979,320.558
222,708.172,300.912
223,700.813,430.530
224,587.760,1058.605
225,843.107,523.984
226,332.785,114.085
227,323.172,273.378
228,639.251,483.118
229,487.377,397.614
230,655.043,466.323
231,346.103,410.672
232,536.075,477.812
233,476.117,189.702
234,413.774,434.325
235,417.512,383.676
236,285.516,278.494
237,226.131,260.118
238,469.548,481.520
239,618.807,893.277
240,439.529,857.877
241,234.250,195.512
242,442.688,817.331
243,378.729,644.546
