,NeutrinoEnergy,RecoE
0,853.000,1034.366
1,674.000,840.893
2,1189.000,1029.825
3,1088.000,970.931
4,1041.000,1113.472
5,745.000,777.003
6,1598.000,1355.090
7,599.000,735.828
8,1147.000,778.554
9,1261.000,1096.250
10,910.000,933.723
11,672.000,800.191
12,1804.000,1624.580
13,904.000,883.998
14,1212.000,1524.656
15,1729.000,1529.212
16,867.000,895.510
17,519.000,620.564
18,1532.000,1306.264
19,1153.000,1151.802
20,1095.000,1120.636
21,921.000,876.546
22,832.000,594.487
23,1091.000,1122.315
24,1404.000,1400.317
25,552.000,663.152
26,1193.000,1073.497
27,1518.000,1431.255
28,1073.000,1083.264
29,987.000,953.211
30,989.000,965.303
31,882.000,1022.194
32,583.000,849.063
33,973.000,865.134
34,1417.000,1112.972
35,1178.000,1167.581
36,848.000,792.165
37,1057.000,1037.712
38,746.000,787.343
39,925.000,968.020
40,1271.000,1516.978
41,1107.000,1112.787
42,1652.000,1155.797
43,1748.000,1423.963
44,1235.000,1124.971
45,1794.000,1459.055
46,1299.000,1101.261
47,894.000,884.626
48,850.000,949.767
49,1339.000,1338.336
50,971.000,1044.613
51,1139.000,815.269
52,1000.000,1121.291
53,857.000,944.004
54,1194.000,1336.132
55,954.000,943.877
56,429.000,563.024
57,1367.000,1451.049
58,1278.000,1233.457
59,826.000,887.740
60,809.000,827.272
61,922.000,978.196
62,800.000,870.836
63,1208.000,1043.781
64,1411.000,1347.146
65,1431.000,1565.438
66,645.000,725.106
67,1245.000,1398.159
68,1269.000,1290.350
69,1073.000,978.653
70,428.000,608.415
71,1082.000,957.067
72,1103.000,1002.868
73,929.000,1056.723
74,1597.000,1216.525
75,802.000,866.137
76,952.000,1135.298
77,997.000,987.643
78,1458.000,1629.726
79,688.000,723.835
80,1088.000,1116.219
81,1422.000,1017.244
82,1203.000,1381.032
83,865.000,865.494
84,672.000,804.608
85,1103.000,1157.582
86,765.000,866.118
87,1708.000,1406.457
88,996.000,1084.066
89,1194.000,692.517
90,1238.000,837.480
91,784.000,829.613
92,1288.000,1442.627
93,1010.000,1028.679
94,1281.000,1235.842
95,1016.000,1310.855
96,1155.000,1202.884
97,1125.000,1389.472
98,961.000,995.067
99,624.000,860.805
100,713.000,795.414
101,649.000,794.714
102,582.000,636.283
103,835.000,797.224
104,1638.000,1763.805
105,1073.000,1092.201
106,1889.000,1464.008
107,1201.000,996.879
108,777.000,775.982
109,813.000,893.346
110,849.000,922.716
111,995.000,1169.933
112,1227.000,889.860
113,875.000,896.338
114,683.000,687.855
115,847.000,797.964
116,508.000,666.713
117,1113.000,948.567
118,918.000,771.330
119,1055.000,1285.710
120,1194.000,1339.355
121,968.000,1131.431
122,879.000,948.672
123,1285.000,1483.089
124,1095.000,1053.447
125,1499.000,1581.402
126,1727.000,1513.084
127,908.000,944.601
128,1258.000,1168.848
129,1494.000,1529.894
130,1043.000,1048.791
131,949.000,1121.520
132,1294.000,1139.885
133,1313.000,1530.325
134,853.000,882.041
135,636.000,664.478
136,853.000,860.171
137,733.000,785.579
138,1326.000,1281.639
139,741.000,850.251
140,1822.000,1459.687
141,1121.000,1166.324
142,684.000,705.771
143,979.000,1038.313
144,746.000,773.910
145,1025.000,1059.334
146,720.000,782.401
147,886.000,864.044
148,930.000,1094.348
149,625.000,646.981
150,1167.000,1100.225
151,520.000,553.095
152,734.000,884.900
153,1119.000,1190.746
154,1548.000,1595.568
155,1673.000,1432.629
156,926.000,905.223
157,754.000,853.465
158,1106.000,1065.767
159,654.000,778.056
160,1084.000,1153.132
161,1548.000,1551.993
162,940.000,1040.984
163,1501.000,1117.050
164,924.000,927.633
165,1134.000,995.208
166,1090.000,1205.638
167,749.000,817.166
168,643.000,760.955
169,1074.000,1099.197
170,1013.000,869.993
171,1940.000,1165.925
172,1170.000,1178.716
173,933.000,1054.047
174,882.000,901.383
175,964.000,575.205
176,1022.000,1042.575
177,1106.000,1164.880
178,1308.000,1133.843
179,612.000,944.135
180,844.000,1002.947
181,1350.000,1173.927
182,1592.000,1406.373
183,1415.000,1345.794
184,785.000,942.295
185,1557.000,1328.376
186,866.000,937.476
187,1238.000,667.407
188,1193.000,939.640
189,865.000,982.905
190,1203.000,1260.736
191,1019.000,1079.580
192,1247.000,1163.503
193,1177.000,1497.416
194,1107.000,994.146
195,1051.000,1127.324
196,1452.000,1562.090
197,921.000,920.154
198,1015.000,777.670
199,1224.000,1075.879
200,1261.000,902.559
201,1422.000,1402.218
202,579.000,833.791
203,1442.000,1098.319
204,1188.000,1012.438
205,1349.000,1201.864
206,741.000,672.851
207,862.000,898.465
208,1912.000,1625.033
209,1207.000,1346.146
210,977.000,881.201
211,1048.000,1190.375
212,556.000,632.603
213,1132.000,1192.919
214,819.000,1011.003
215,749.000,1048.360
216,903.000,1151.341
217,785.000,758.101
218,1561.000,1549.894
219,962.000,921.514
220,958.000,911.311
221,810.000,943.515
222,912.000,870.089
223,1374.000,1193.953
224,946.000,992.083
225,1084.000,932.452
226,810.000,879.252
227,1430.000,1507.014
228,817.000,786.094
229,579.000,754.229
230,877.000,1080.407
231,1243.000,1349.918
232,1144.000,1494.441
233,1561.000,1267.898
234,954.000,665.248
235,810.000,937.998
236,1003.000,1229.187
237,1582.000,1563.060
238,1246.000,826.614
239,1977.000,1486.345
240,900.000,1014.847
241,1826.000,928.601
242,1263.000,819.807
243,613.000,684.824
244,1111.000,1175.579
245,829.000,818.690
246,612.000,687.128
247,530.000,566.006
248,1082.000,1156.708
249,1236.000,874.799
250,1284.000,1340.323
251,880.000,898.748
252,1166.000,1141.211
253,985.000,912.978
254,1048.000,1214.981
255,1052.000,1066.499
256,839.000,851.052
257,1066.000,1023.656
258,464.000,714.217
259,1357.000,745.117
260,1919.000,1326.817
261,1045.000,1232.963
262,801.000,835.643
263,1010.000,1133.250
264,1049.000,930.021
265,1337.000,1535.688
266,1528.000,1475.431
267,1287.000,876.694
268,1027.000,949.808
269,971.000,978.077
270,932.000,906.537
271,1303.000,1479.106
272,874.000,967.017
273,1304.000,1276.060
274,1036.000,1122.722
275,1018.000,1064.473
276,1263.000,1342.975
277,1050.000,923.801
278,769.000,927.754
279,1202.000,1180.174
280,1190.000,1132.394
281,1287.000,1139.679
282,1458.000,1348.426
283,966.000,1072.031
284,1180.000,1212.456
285,985.000,1159.077
286,746.000,727.044
287,605.000,698.226
288,1334.000,1052.351
289,916.000,910.055
290,1323.000,1082.664
291,1276.000,1219.152
292,877.000,872.677
293,1430.000,1463.487
294,949.000,874.673
295,1648.000,1335.188
296,869.000,872.346
297,1349.000,1567.539
298,1403.000,1255.342
299,978.000,933.828
300,900.000,969.131
301,1460.000,1574.422
302,626.000,676.932
303,1214.000,1624.198
304,1407.000,1355.335
305,1050.000,953.888
306,1141.000,1136.106
307,640.000,836.370
308,792.000,837.659
309,1419.000,939.846
310,1274.000,1196.211
311,817.000,822.019
